ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_next_month,UTIL_1,UTIL_2,UTIL_3,UTIL_4,UTIL_5,UTIL_6,UTIL_AVG,UTIL_MAX,UTIL_MIN,UTIL_LATEST,UTIL_VOLATILITY,UTIL_TREND,PAYCOV_1,PAYCOV_2,PAYCOV_3,PAYCOV_4,PAYCOV_5,PAYCOV_AVG,PAYCOV_LATEST,PAYCOV_TREND,N_MONTHS_DELINQUENT,MAX_DELINQUENCY,AVG_DELINQUENCY_SEVERITY,RECENT_DELINQUENCY,SEVERE_DELINQUENCY_FLAG,PERSISTENT_DELINQUENCY_FLAG,BILL_AVG,BILL_LATEST,BILL_MAX,BILL_TREND,BILL_VOLATILITY,PAYAMT_AVG,PAYAMT_LATEST,PAYAMT_MAX,PAYAMT_TREND,PAYAMT_VOLATILITY,BALANCE_TO_LIMIT_LATEST,PAYMENT_CAPACITY,UTILIZATION_STRESS_FLAG
1,20000,2,2,1,24,2,2,-1,-1,-2,-2,3913,3102,689,0,0,0,0,689,0,0,0,0,1,0.19565,0.1551,0.03445,0.0,0.0,0.0,0.0642,0.19565,0.0,0.19565,0.08040718769695487,0.04222857142857142,0.0,1.0,,,,0.5,0.0,-1.0,2,2,0.6666666666666666,1,0,0,1284.0,3913,3913,844.5714285714283,1608.1437539390977,114.83333333333333,0,689,59.057142857142864,256.77513941622584,0.19565,0.0,0
2,120000,2,2,2,26,-1,2,0,0,0,2,2682,1725,2682,3272,3455,3261,0,1000,1000,1000,0,2000,1,0.02235,0.014375,0.02235,0.027266666666666668,0.028791666666666667,0.027175,0.023718055555555558,0.028791666666666667,0.014375,0.02235,0.004853185801392681,-0.002065476190476191,0.0,0.37285607755406414,0.3056234718826406,0.2894356005788712,0.0,0.1935830300031152,0.0,0.008342047697519304,2,2,0.6666666666666666,0,0,0,2846.1666666666665,2682,3455,-247.85714285714263,582.3822961671216,833.3333333333334,0,2000,-199.99999999999986,687.1842709362768,0.02235,0.0,0
3,90000,2,2,2,34,0,0,0,0,0,0,29239,14027,13559,14331,14948,15549,1518,1500,1000,1000,1000,5000,0,0.32487777777777777,0.15585555555555555,0.15065555555555554,0.15923333333333334,0.1660888888888889,0.17276666666666668,0.1882462962962963,0.32487777777777777,0.15065555555555554,0.32487777777777777,0.061512474701443665,0.020607936507936492,0.10821986169530191,0.1106276274061509,0.06977880120019538,0.0668985817500669,0.06431281754453663,0.08396753791925034,0.10821986169530191,0.013154313395761447,0,0,0.0,0,0,0,16942.166666666668,29239,29239,1854.7142857142846,5536.12272312993,1836.3333333333333,1518,5000,-454.5714285714285,1433.0389232521063,0.32487777777777777,0.016866666666666665,0
4,50000,2,2,1,37,0,0,0,0,0,0,46990,48233,49291,28314,28959,29547,2000,2019,1200,1100,1069,1000,0,0.9398,0.96466,0.98582,0.56628,0.57918,0.59094,0.7711133333333332,0.98582,0.56628,0.9398,0.19290411492644616,0.09486514285714281,0.041465386768395084,0.04096082449128644,0.04238186056367874,0.03798473704202493,0.03617964598774833,0.039794490970626706,0.041465386768395084,0.0013547569010554986,0,0,0.0,0,0,0,38555.666666666664,46990,49291,4743.257142857141,9645.20574632231,1398.0,2000,2019,227.14285714285705,436.4053925728538,0.9398,0.04,0
5,50000,1,2,1,57,-1,0,-1,0,0,0,8617,5670,35835,20940,19146,19131,2000,36681,10000,9000,689,679,0,0.17234,0.1134,0.7167,0.4188,0.38292,0.38262,0.36446333333333336,0.7167,0.1134,0.17234,0.19478091467652117,-0.04463028571428571,0.3527336860670194,1.0236082042695689,0.4775549188156638,0.4700720777185835,0.03601484501594271,0.47199674637735567,0.3527336860670194,0.11869738086531384,0,0,0.0,0,0,0,18223.166666666668,8617,35835,-2231.514285714286,9739.04573382606,9841.5,2000,36681,3302.3142857142857,12585.04926159078,0.17234,0.04,0
6,50000,1,1,2,37,0,0,0,0,0,0,64400,57069,57608,19394,19619,20024,2500,1815,657,1000,1000,800,0,1.288,1.14138,1.15216,0.38788,0.39238,0.40048,0.7937133333333334,1.288,0.38788,1.288,0.40292204087418976,0.2128251428571428,0.043806620056422926,0.031506040827662826,0.03387645663607301,0.05097099750242112,0.04994007191370355,0.04202003738725669,0.043806620056422926,-0.00317318603893196,0,0,0.0,0,0,0,39685.666666666664,64400,64400,10641.257142857141,20146.102043709485,1295.3333333333333,2500,2500,302.91428571428565,651.7340118654405,1.288,0.05,0
7,500000,1,1,2,29,0,0,0,0,0,0,367965,412023,445007,542653,483003,473944,55000,40000,38000,20239,13750,13770,0,0.73593,0.824046,0.890014,1.085306,0.966006,0.947888,0.9081983333333333,1.085306,0.73593,0.73593,0.11058389380264906,-0.04802748571428573,0.13348769364817012,0.08988622650879649,0.07002633358702523,0.04190243124783904,0.029011866380838244,0.07286291027453382,0.13348769364817012,0.025693544979562118,0,0,0.0,0,0,0,454099.1666666667,367965,542653,-24013.74285714285,55291.94690132451,30126.5,55000,55000,8647.45714285714,15338.711959722477,0.73593,0.11,0
8,100000,2,2,2,23,0,-1,-1,0,0,-1,11876,380,601,221,-159,567,380,601,0,581,1687,1542,0,0.11876,0.0038,0.00601,0.00221,-0.00159,0.00567,0.022476666666666662,0.11876,-0.00159,0.11876,0.04313323454393633,0.01672628571428571,1.0,1.0,0.0,,2.9753086419753085,1.2438271604938271,1.0,-0.492592592592593,0,0,0.0,0,0,0,2247.6666666666665,11876,11876,1672.628571428571,4313.323454393633,798.5,380,1687,-275.6857142857142,611.1848465617146,0.11876,0.0038,0
9,140000,2,3,1,28,0,0,2,0,0,0,11285,14096,12108,12211,11793,3719,3329,0,432,1000,1000,1000,0,0.08060714285714286,0.10068571428571428,0.08648571428571429,0.08722142857142857,0.08423571428571429,0.026564285714285714,0.07763333333333333,0.10068571428571428,0.026564285714285714,0.08060714285714286,0.023672033740384364,0.009109387755102042,0.23616628830874006,0.0,0.035377937924821884,0.08479606546256253,0.26888948642108096,0.12504595562344106,0.23616628830874006,-0.01502424616872445,1,2,0.3333333333333333,0,0,0,10868.666666666666,11285,14096,1275.314285714286,3314.0847236538107,1126.8333333333333,3329,3329,230.7714285714285,1052.8014084126007,0.08060714285714286,0.02377857142857143,0
10,20000,1,3,2,35,-2,-2,-2,-2,-1,-1,0,0,0,0,13007,13912,0,0,0,13007,1122,0,0,0.0,0.0,0.0,0.0,0.65035,0.6956,0.224325,0.6956,0.0,0.0,0.31751226977604086,-0.15511571428571422,,,,1.0,0.08064979873490512,0.5403248993674525,,0.9193502012650947,0,0,0.0,0,0,0,4486.5,0,13912,-3102.314285714284,6350.245395520817,2354.8333333333335,0,13007,-467.80000000000007,4781.378685995169,0.0,0.0,0
